id,created_at,text,topic,action,retweet_count,favorite_count
8.90E+17,2017-07-26T12:07:19Z,Did you know anyone can voice control their lights (and more!) with Alexa and the right smart home devices? ðŸ’¡ðŸ“ºðŸ”’ðŸ“¹ https://t.co/cufFhWE3bb,Digital_Lifestyle,IoT,22,52
8.90E+17,2017-07-24T19:24:01Z,"Celebrate National Tequila Day and say, ""Alexa, ask Patron to surprise me!"" ðŸ¹ https://t.co/uDU2LIxgJk",Promotional,Trivial,13,33
8.88E+17,2017-07-21T12:08:06Z,Meet Alexa Episode 2: Alexa helps Nanna multitask using named timers. â²ï¸â²ï¸â²ï¸ https://t.co/RCxatOhAeu,Entertainment,Trivial,24,49
8.88E+17,2017-07-20T12:07:01Z,"The university competition to advance AI has reached the semi-finals. To try one of the socialbots, say, ""Alexa, leâ€¦ https://t.co/214DV7d7jv",Promotional,Customization,26,49
8.88E+17,2017-07-19T12:00:14Z,Dish + Alexa = control what you watch with no hands! ðŸ™Œ https://t.co/ylnVRxH9kV,Entertainment,IoT,8,23
8.87E+17,2017-07-18T12:07:08Z,"Play Jeopardy with new clues that refresh daily! Just ask â€œAlexa, open Jeopardy.â€ Find more skills here:â€¦ https://t.co/GD3IOyzP1i",Entertainment,Basic,17,53
8.87E+17,2017-07-17T19:57:18Z,RT @HTCUSA: The #HTCU11 is the world's first smartphone with hands-free Amazon Alexa. Try it out now on your U11: https://t.co/E6ngiKAtId hâ€¦,Digital_Lifestyle,IoT,40,0
8.87E+17,2017-07-17T12:07:01Z,"Alexa can now notify you the day your Amazon order arrives with a glowing yellow ring of joy! ðŸ’›ðŸ“¦ Ask, â€œAlexa, whereâ€¦ https://t.co/zhI2vghmNd",Promotional,Customization,24,98
8.86E+17,2017-07-14T12:07:01Z,"Busy hands? Control your smart TV with Alexa and your voice. ðŸ¤“ðŸ“º Learn how with Sony, Logitech Harmony, &amp; Broadlink:â€¦ https://t.co/bPMcXwpfJL",Entertainment,IoT,27,57
8.86E+17,2017-07-13T12:07:01Z,"Fall asleep peacefully with Sleep and Relaxation Sounds. ðŸ˜´ Just say, â€œAlexa, open Sleep Sounds.â€ Find more skills:â€¦ https://t.co/aWGWPAzmMA",Productivity,Streaming,17,101
